id,label_str,pred_str,p_A,label_num
0,A,A,0.65135491,1
1,B,B,0.36296922,0
2,B,A,0.50000000,0
3,B,A,0.56217653,0
4,A,A,0.74316794,1
5,B,A,0.50000000,0
6,B,A,0.57749540,0
7,A,B,0.42250463,1
8,B,B,0.29421496,0
9,B,A,0.50000000,0
10,A,A,0.66541058,1
11,B,B,0.26894143,0
12,B,B,0.43782350,0
13,A,B,0.45326188,1
14,B,B,0.36296922,0
15,A,B,0.37754068,1
16,A,B,0.45326188,1
17,A,A,0.59266663,1
18,B,B,0.42250463,0
19,B,B,0.46879065,0
20,A,A,0.66541058,1
21,A,B,0.37754068,1
22,A,A,0.54673815,1
23,A,A,0.85195285,1
24,A,B,0.42250463,1
25,B,A,0.57749540,0
26,A,B,0.43782350,1
27,A,A,0.50000000,1
28,A,A,0.56217653,1
29,B,A,0.57749540,0
30,A,A,0.54673815,1
31,B,B,0.24508502,0
32,B,A,0.51561993,0
33,A,B,0.45326188,1
34,B,A,0.53120941,0
35,B,B,0.39233685,0
36,A,A,0.65135491,1
37,A,A,0.60766321,1
38,A,A,0.76629364,1
39,B,B,0.17328820,0
