id,label_str,pred_str,p_A,label_num
0,B,A,0.70578504,0
1,A,A,0.70578504,1
2,B,A,0.66541058,0
3,B,A,0.59266663,0
4,A,B,0.43782350,1
5,B,A,0.53120941,0
6,A,A,0.50000000,1
7,B,B,0.40733343,0
8,B,A,0.65135491,0
9,B,A,0.54673815,0
10,B,B,0.46879065,0
11,B,B,0.46879065,0
12,B,A,0.66541058,0
13,B,A,0.65135491,0
14,B,A,0.63703084,0
15,A,B,0.45326188,1
16,B,A,0.50000000,0
17,A,A,0.54673815,1
18,A,A,0.56217653,1
19,B,A,0.54673815,0
20,A,A,0.60766321,1
21,B,A,0.75491500,0
22,B,A,0.50000000,0
23,A,A,0.50000000,1
24,B,A,0.54673815,0
25,B,A,0.69264197,0
26,B,B,0.43782350,0
27,B,A,0.54673815,0
28,B,A,0.56217653,0
29,B,B,0.48438010,0
30,A,A,0.70578504,1
31,A,A,0.67917871,1
32,B,A,0.57749540,0
33,B,A,0.53120941,0
34,B,A,0.67917871,0
35,A,A,0.50000000,1
36,B,A,0.51561993,0
37,A,A,0.54673815,1
38,B,A,0.53120941,0
39,A,A,0.57749540,1
