id,label_str,pred_str,p_A,label_num
0,A,A,0.87407720,1
1,B,B,0.37754068,0
2,A,A,0.57749540,1
3,B,B,0.14804719,0
4,A,B,0.39233685,1
5,B,B,0.14804719,0
6,B,B,0.30735803,0
7,B,B,0.21206881,0
8,B,B,0.45326188,0
9,A,A,0.70578504,1
10,B,A,0.75491500,0
11,B,B,0.46879065,0
12,A,B,0.37754068,1
13,B,B,0.42250463,0
14,A,A,0.53120941,1
15,A,B,0.42250463,1
16,B,B,0.48438010,0
17,A,B,0.43782350,1
18,B,B,0.39233685,0
19,A,A,0.53120941,1
20,B,B,0.36296922,0
21,A,B,0.36296922,1
22,A,A,0.66541058,1
23,B,B,0.17328820,0
24,B,B,0.15610491,0
25,B,B,0.30735803,0
26,B,B,0.32082132,0
27,B,B,0.28140560,0
28,A,A,0.73105854,1
29,A,B,0.39233685,1
30,A,B,0.36296922,1
31,B,B,0.37754068,0
32,B,B,0.34864515,0
33,A,B,0.32082132,1
34,B,B,0.42250463,0
35,A,B,0.34864515,1
36,A,B,0.46879065,1
37,B,A,0.63703084,0
38,A,A,0.53120941,1
39,A,A,0.60766321,1
