id,label_str,pred_str,p_A,label_num
0,A,A,0.53120941,1
1,A,A,0.67917871,1
2,B,B,0.40733343,0
3,A,B,0.43782350,1
4,B,B,0.45326188,0
5,A,B,0.46879065,1
6,A,B,0.37754068,1
7,B,A,0.53120941,0
8,B,B,0.48438010,0
9,A,A,0.76629364,1
10,A,B,0.33458945,1
11,A,A,0.53120941,1
12,A,A,0.56217653,1
13,A,A,0.59266663,1
14,B,A,0.59266663,0
15,B,B,0.39233685,0
16,A,A,0.63703084,1
17,B,B,0.30735803,0
18,B,A,0.54673815,0
19,B,B,0.45326188,0
20,B,A,0.53120941,0
21,B,A,0.66541058,0
22,B,A,0.50000000,0
23,B,A,0.51561993,0
24,B,B,0.40733343,0
25,B,A,0.54673815,0
26,A,A,0.65135491,1
27,A,B,0.48438010,1
28,B,B,0.33458945,0
29,A,A,0.56217653,1
30,B,A,0.51561993,0
31,B,B,0.37754068,0
32,A,A,0.60766321,1
33,B,A,0.59266663,0
34,A,A,0.62245935,1
35,B,B,0.42250463,0
36,A,B,0.48438010,1
37,A,A,0.62245935,1
38,B,A,0.56217653,0
39,B,A,0.67917871,0
