id,label_str,pred_str,p_A,label_num
0,A,B,0.42250463,1
1,A,A,0.51561993,1
2,A,A,0.54673815,1
3,B,A,0.56217653,0
4,B,B,0.42250463,0
5,B,A,0.50000000,0
6,A,B,0.40733343,1
7,B,B,0.46879065,0
8,B,A,0.54673815,0
9,B,A,0.62245935,0
10,A,A,0.53120941,1
11,B,B,0.40733343,0
12,B,B,0.39233685,0
13,B,A,0.57749540,0
14,A,A,0.57749540,1
15,A,A,0.56217653,1
16,B,B,0.42250463,0
17,A,A,0.57749540,1
18,B,B,0.42250463,0
19,A,B,0.33458945,1
20,A,A,0.59266663,1
21,A,A,0.56217653,1
22,B,B,0.43782350,0
23,B,B,0.36296922,0
24,A,B,0.30735803,1
25,B,B,0.26894143,0
26,B,B,0.42250463,0
27,A,A,0.54673815,1
28,A,A,0.63703084,1
29,B,A,0.50000000,0
30,B,A,0.59266663,0
31,A,B,0.42250463,1
32,B,A,0.60766321,0
33,B,A,0.54673815,0
34,B,A,0.62245935,0
35,A,A,0.54673815,1
36,B,A,0.50000000,0
37,A,B,0.39233685,1
38,A,B,0.37754068,1
39,B,B,0.39233685,0
