id,label_str,pred_str,p_A,label_num
0,A,A,0.94334757,1
1,B,A,0.82671177,0
2,A,A,0.60766321,1
3,B,B,0.40733343,0
4,A,A,0.60766321,1
5,B,B,0.22270015,0
6,B,A,0.75491500,0
7,B,A,0.59266663,0
8,B,A,0.53120941,0
9,A,A,0.87407720,1
10,B,A,0.62245935,0
11,B,A,0.73105854,0
12,A,A,0.70578504,1
13,B,A,0.74316794,0
14,A,A,0.53120941,1
15,A,A,0.80806720,1
16,B,A,0.63703084,0
17,A,B,0.36296922,1
18,B,B,0.48438010,0
19,A,A,0.62245935,1
20,B,A,0.62245935,0
21,A,A,0.54673815,1
22,A,A,0.77729988,1
23,B,B,0.24508502,0
24,B,B,0.29421496,0
25,B,B,0.42250463,0
26,B,B,0.40733343,0
27,B,A,0.62245935,0
28,A,A,0.82671177,1
29,A,A,0.71859437,1
30,A,A,0.67917871,1
31,B,A,0.63703084,0
32,B,B,0.29421496,0
33,A,A,0.51561993,1
34,B,A,0.65135491,0
35,A,A,0.62245935,1
36,A,A,0.79818678,1
37,B,A,0.85195285,0
38,A,A,0.50000000,1
39,A,A,0.56217653,1
