id,label_str,pred_str,p_A,label_num
0,A,A,0.60766321,1
1,A,A,0.65135491,1
2,B,A,0.54673815,0
3,B,A,0.82671177,0
4,B,A,0.66541058,0
5,A,A,0.53120941,1
6,A,B,0.26894143,1
7,A,B,0.36296922,1
8,A,A,0.67917871,1
9,B,B,0.46879065,0
10,A,A,0.69264197,1
11,B,B,0.28140560,0
12,A,A,0.50000000,1
13,B,A,0.50000000,0
14,B,B,0.43782350,0
15,A,B,0.48438010,1
16,B,A,0.62245935,0
17,B,A,0.71859437,0
18,A,B,0.32082132,1
19,B,B,0.26894143,0
20,B,A,0.57749540,0
21,B,A,0.59266663,0
22,B,A,0.84389514,0
23,A,A,0.62245935,1
24,A,A,0.54673815,1
25,B,A,0.60766321,0
26,B,A,0.67917871,0
27,A,B,0.46879065,1
28,B,B,0.40733343,0
29,B,A,0.73105854,0
30,A,B,0.34864515,1
31,A,B,0.32082132,1
32,B,A,0.51561993,0
33,A,A,0.56217653,1
34,B,A,0.59266663,0
35,B,A,0.63703084,0
36,B,B,0.29421496,0
37,A,B,0.46879065,1
38,B,B,0.45326188,0
39,B,A,0.50000000,0
